run_id,run_name,env,noise,is_rt,seed,val_accuracy
0tn1c1f9,ppo_Walker2d-v5_912391_comparative_912391_noise_0.5_nfeedback_5000_rt1.0,Walker2d-v5,0.5,True,912391,0.876358687877655
jgeyfdtl,ppo_Walker2d-v5_912391_comparative_912391_noise_0.5_nfeedback_5000,Walker2d-v5,0.5,False,912391,0.8817934989929199
6ynj3jnu,ppo_Swimmer-v5_912391_comparative_912391_noise_0.25_nfeedback_5000,Swimmer-v5,0.25,False,912391,0.83152174949646
f620ea4e,ppo_Swimmer-v5_912391_comparative_912391_noise_0.5_nfeedback_5000,Swimmer-v5,0.5,False,912391,0.7527173757553101
9apg1hky,ppo_Swimmer-v5_912391_comparative_912391_noise_0.25_nfeedback_5000_rt1.0,Swimmer-v5,0.25,True,912391,0.842391312122345
cewhyqgd,ppo_Swimmer-v5_912391_comparative_912391_noise_0.5_nfeedback_5000_rt1.0,Swimmer-v5,0.5,True,912391,0.7567934989929199
ilvdq49y,ppo_Walker2d-v5_1687123_comparative_1687123_noise_0.5_nfeedback_5000_rt1.0,Walker2d-v5,0.5,True,1687123,0.88722825050354
kelpqjub,ppo_Walker2d-v5_1687123_comparative_1687123_noise_0.25_nfeedback_5000,Walker2d-v5,0.25,False,1687123,0.95380437374115
s3wk6d4r,ppo_HalfCheetah-v5_912391_comparative_912391_noise_0.25_nfeedback_5000,HalfCheetah-v5,0.25,False,912391,0.92798912525177
t6jb14ci,ppo_Walker2d-v5_1687123_comparative_1687123_noise_0.5_nfeedback_5000,Walker2d-v5,0.5,False,1687123,0.88722825050354
0p4ltc56,ppo_Walker2d-v5_912391_comparative_912391_noise_0.1_nfeedback_5000_rt1.0,Walker2d-v5,0.1,True,912391,0.99048912525177
cazqmxrg,ppo_Walker2d-v5_1687123_comparative_1687123_noise_0.25_nfeedback_5000_rt1.0,Walker2d-v5,0.25,True,1687123,0.95244562625885
dri2ywvn,ppo_Swimmer-v5_1687123_comparative_1687123_noise_0.5_nfeedback_5000_rt1.0,Swimmer-v5,0.5,True,1687123,0.73777174949646
hhtnf91j,ppo_Swimmer-v5_12_comparative_12_noise_0.1_nfeedback_5000,Swimmer-v5,0.1,False,12,0.90625
suzbf9cz,ppo_Swimmer-v5_1687123_comparative_1687123_noise_0.25_nfeedback_5000,Swimmer-v5,0.25,False,1687123,0.8165760636329651
wagh36si,ppo_HalfCheetah-v5_912391_comparative_912391_noise_0.25_nfeedback_5000_rt1.0,HalfCheetah-v5,0.25,True,912391,0.93070650100708
z142yycd,ppo_Walker2d-v5_912391_comparative_912391_noise_0.1_nfeedback_5000,Walker2d-v5,0.1,False,912391,0.989130437374115
0198v2t2,ppo_Swimmer-v5_1687123_comparative_1687123_noise_0.25_nfeedback_5000_rt1.0,Swimmer-v5,0.25,True,1687123,0.83423912525177
czb1v8vf,ppo_Swimmer-v5_1687123_comparative_1687123_noise_0.5_nfeedback_5000,Swimmer-v5,0.5,False,1687123,0.73097825050354
fyyj0u8o,ppo_Swimmer-v5_12_comparative_12_noise_0.5_nfeedback_5000,Swimmer-v5,0.5,False,12,0.70652174949646
q5gc96dp,ppo_Swimmer-v5_12_comparative_12_noise_0.1_nfeedback_5000_rt1.0,Swimmer-v5,0.1,True,12,0.91304349899292
cr8o8vgp,ppo_Swimmer-v5_12_comparative_12_noise_0.5_nfeedback_5000_rt1.0,Swimmer-v5,0.5,True,12,0.7038043737411499
shr49bi1,ppo_Walker2d-v5_1687123_comparative_1687123_noise_0.1_nfeedback_5000,Walker2d-v5,0.1,False,1687123,0.98777174949646
5ts3b3ae,ppo_HalfCheetah-v5_912391_comparative_912391_noise_0.1_nfeedback_5000,HalfCheetah-v5,0.1,False,912391,0.9823369383811952
k6uvml62,ppo_Walker2d-v5_1687123_comparative_1687123_noise_0.1_nfeedback_5000_rt1.0,Walker2d-v5,0.1,True,1687123,0.98777174949646
r1jp3neg,ppo_HalfCheetah-v5_912391_comparative_912391_noise_0.5_nfeedback_5000_rt1.0,HalfCheetah-v5,0.5,True,912391,0.8682065010070801
t6t252je,ppo_HalfCheetah-v5_912391_comparative_912391_noise_0.1_nfeedback_5000_rt1.0,HalfCheetah-v5,0.1,True,912391,0.9823369383811952
w40yhoy5,ppo_HalfCheetah-v5_912391_comparative_912391_noise_0.5_nfeedback_5000,HalfCheetah-v5,0.5,False,912391,0.864130437374115
ayjadsg4,ppo_Walker2d-v5_1789_comparative_1789_noise_0.5_nfeedback_5000,Walker2d-v5,0.5,False,1789,0.885869562625885
dusd1wu9,ppo_Swimmer-v5_12_comparative_12_noise_0.25_nfeedback_5000,Swimmer-v5,0.25,False,12,0.792119562625885
hn6i0of4,ppo_Walker2d-v5_1789_comparative_1789_noise_0.1_nfeedback_5000,Walker2d-v5,0.1,False,1789,0.99048912525177
m4ibnb6e,ppo_Walker2d-v5_1789_comparative_1789_noise_0.1_nfeedback_5000_rt1.0,Walker2d-v5,0.1,True,1789,0.99048912525177
ah8f3tec,ppo_Swimmer-v5_12_comparative_12_noise_0.25_nfeedback_5000_rt1.0,Swimmer-v5,0.25,True,12,0.7961956262588501
al29kk01,ppo_Walker2d-v5_1789_comparative_1789_noise_0.5_nfeedback_5000_rt1.0,Walker2d-v5,0.5,True,1789,0.8885869383811951
g6if683x,ppo_Swimmer-v5_1687123_comparative_1687123_noise_0.1_nfeedback_5000_rt1.0,Swimmer-v5,0.1,True,1687123,0.9334239363670348
xueqpuqg,ppo_Swimmer-v5_1687123_comparative_1687123_noise_0.1_nfeedback_5000,Swimmer-v5,0.1,False,1687123,0.91576087474823
f63cnbec,ppo_Swimmer-v5_912391_comparative_912391_noise_0.1_nfeedback_5000,Swimmer-v5,0.1,False,912391,0.9198369383811952
y8hexoo8,ppo_Walker2d-v5_12_comparative_12_noise_0.5_nfeedback_5000_rt1.0,Walker2d-v5,0.5,True,12,0.8790760636329651
kronjas8,ppo_Swimmer-v5_912391_comparative_912391_noise_0.1_nfeedback_5000_rt1.0,Swimmer-v5,0.1,True,912391,0.936141312122345
0a7rcaa7,ppo_Swimmer-v5_1789_comparative_1789_noise_0.25_nfeedback_5000,Swimmer-v5,0.25,False,1789,0.7527173757553101
l9755m4f,ppo_Swimmer-v5_1789_comparative_1789_noise_0.1_nfeedback_5000,Swimmer-v5,0.1,False,1789,0.86548912525177
25j2oro7,ppo_Swimmer-v5_1789_comparative_1789_noise_0.1_nfeedback_5000_rt1.0,Swimmer-v5,0.1,True,1789,0.88722825050354
7sintwfa,ppo_Swimmer-v5_1789_comparative_1789_noise_0.25_nfeedback_5000_rt1.0,Swimmer-v5,0.25,True,1789,0.7649456262588501
fjhnurqf,ppo_Walker2d-v5_12_comparative_12_noise_0.1_nfeedback_5000,Walker2d-v5,0.1,False,12,0.9864130616188048
jng6382h,ppo_Walker2d-v5_12_comparative_12_noise_0.25_nfeedback_5000,Walker2d-v5,0.25,False,12,0.948369562625885
q5ch27gq,ppo_Walker2d-v5_12_comparative_12_noise_0.1_nfeedback_5000_rt1.0,Walker2d-v5,0.1,True,12,0.99048912525177
ursxk5ji,ppo_Walker2d-v5_12_comparative_12_noise_0.25_nfeedback_5000_rt1.0,Walker2d-v5,0.25,True,12,0.95244562625885
5sx16wax,ppo_HalfCheetah-v5_1789_comparative_1789_noise_0.25_nfeedback_5000,HalfCheetah-v5,0.25,False,1789,0.9320651888847352
ch3dajg5,ppo_HalfCheetah-v5_1789_comparative_1789_noise_0.5_nfeedback_5000,HalfCheetah-v5,0.5,False,1789,0.866847813129425
x5m06e2m,ppo_HalfCheetah-v5_1789_comparative_1789_noise_0.1_nfeedback_5000,HalfCheetah-v5,0.1,False,1789,0.9741848111152648
qvlt155u,ppo_Swimmer-v5_1789_comparative_1789_noise_0.5_nfeedback_5000,Swimmer-v5,0.5,False,1789,0.664402186870575
6hc4wym7,ppo_HalfCheetah-v5_1789_comparative_1789_noise_0.1_nfeedback_5000_rt1.0,HalfCheetah-v5,0.1,True,1789,0.979619562625885
lvvdyndp,ppo_HalfCheetah-v5_1789_comparative_1789_noise_0.5_nfeedback_5000_rt1.0,HalfCheetah-v5,0.5,True,1789,0.8614130616188049
uyoeb2q2,ppo_HalfCheetah-v5_1789_comparative_1789_noise_0.25_nfeedback_5000_rt1.0,HalfCheetah-v5,0.25,True,1789,0.93478262424469
5j2kp9lm,ppo_Swimmer-v5_1789_comparative_1789_noise_0.5_nfeedback_5000_rt1.0,Swimmer-v5,0.5,True,1789,0.6589673757553101
ack6vqfz,ppo_Swimmer-v5_330_comparative_330_noise_0.1_nfeedback_5000_rt1.0,Swimmer-v5,0.1,True,330,0.9320651888847352
fyn3di8z,ppo_Swimmer-v5_330_comparative_330_noise_0.1_nfeedback_5000,Swimmer-v5,0.1,False,330,0.914402186870575
om1vxeup,ppo_Swimmer-v5_330_comparative_330_noise_0.25_nfeedback_5000,Swimmer-v5,0.25,False,330,0.804347813129425
bgp4xoco,ppo_Swimmer-v5_330_comparative_330_noise_0.5_nfeedback_5000_rt1.0,Swimmer-v5,0.5,True,330,0.7241848111152649
fb9opuh8,ppo_Swimmer-v5_330_comparative_330_noise_0.25_nfeedback_5000_rt1.0,Swimmer-v5,0.25,True,330,0.82201087474823
igz9um5s,ppo_Swimmer-v5_330_comparative_330_noise_0.5_nfeedback_5000,Swimmer-v5,0.5,False,330,0.717391312122345
m03i7jk9,ppo_HalfCheetah-v5_330_comparative_330_noise_0.5_nfeedback_5000_rt1.0,HalfCheetah-v5,0.5,True,330,0.864130437374115
g7awezje,ppo_Walker2d-v5_330_comparative_330_noise_0.5_nfeedback_5000_rt1.0,Walker2d-v5,0.5,True,330,0.88722825050354
t9gkonr0,ppo_Walker2d-v5_330_comparative_330_noise_0.25_nfeedback_5000,Walker2d-v5,0.25,False,330,0.95244562625885
wgt7tzs8,ppo_Walker2d-v5_330_comparative_330_noise_0.5_nfeedback_5000,Walker2d-v5,0.5,False,330,0.883152186870575
l72by0le,ppo_Walker2d-v5_330_comparative_330_noise_0.25_nfeedback_5000_rt1.0,Walker2d-v5,0.25,True,330,0.9551630616188048
ara8js5l,ppo_Walker2d-v5_330_comparative_330_noise_0.1_nfeedback_5000,Walker2d-v5,0.1,False,330,0.98777174949646
wt3r0ud7,ppo_Walker2d-v5_330_comparative_330_noise_0.1_nfeedback_5000_rt1.0,Walker2d-v5,0.1,True,330,0.99320650100708
3585lctr,ppo_Walker2d-v5_330_comparative_330_nfeedback_5000_rt1.0,Walker2d-v5,0.0,True,330,1.0
r6qioj7y,ppo_Walker2d-v5_330_comparative_330_nfeedback_5000,Walker2d-v5,0.0,False,330,0.9959239363670348
8igwbgy0,ppo_Swimmer-v5_1789_comparative_1789_nfeedback_5000_rt1.0,Swimmer-v5,0.0,True,1789,0.9646739363670348
pk9fi9ul,ppo_Swimmer-v5_1789_comparative_1789_nfeedback_5000,Swimmer-v5,0.0,False,1789,0.9334239363670348
t2fq8rzn,ppo_HalfCheetah-v5_1789_comparative_1789_nfeedback_5000_rt1.0,HalfCheetah-v5,0.0,True,1789,0.99728262424469
u5wolq0k,ppo_HalfCheetah-v5_1789_comparative_1789_nfeedback_5000,HalfCheetah-v5,0.0,False,1789,0.9864130616188048
0q2b7khm,ppo_Swimmer-v5_912391_comparative_912391_nfeedback_5000,Swimmer-v5,0.0,False,912391,0.95923912525177
28nghcc2,ppo_Walker2d-v5_12_comparative_12_nfeedback_5000,Walker2d-v5,0.0,False,12,0.9959239363670348
xv0wpb6n,ppo_Swimmer-v5_912391_comparative_912391_nfeedback_5000_rt1.0,Swimmer-v5,0.0,True,912391,0.97826087474823
e7tm8253,ppo_Swimmer-v5_1687123_comparative_1687123_nfeedback_5000,Swimmer-v5,0.0,False,1687123,0.9551630616188048
omhp58dv,ppo_Walker2d-v5_1789_comparative_1789_nfeedback_5000,Walker2d-v5,0.0,False,1789,0.9945651888847352
o2owj1eq,ppo_Walker2d-v5_1789_comparative_1789_nfeedback_5000_rt1.0,Walker2d-v5,0.0,True,1789,1.0
w6qatfi6,ppo_Swimmer-v5_1687123_comparative_1687123_nfeedback_5000_rt1.0,Swimmer-v5,0.0,True,1687123,0.97826087474823
7qed7b6q,ppo_Walker2d-v5_1687123_comparative_1687123_nfeedback_5000,Walker2d-v5,0.0,False,1687123,1.0
r018evcu,ppo_Swimmer-v5_12_comparative_12_nfeedback_5000,Swimmer-v5,0.0,False,12,0.9415760636329652
7phq0zua,ppo_Walker2d-v5_1687123_comparative_1687123_nfeedback_5000_rt1.0,Walker2d-v5,0.0,True,1687123,1.0
6rzc1z50,ppo_HalfCheetah-v5_912391_comparative_912391_nfeedback_5000,HalfCheetah-v5,0.0,False,912391,0.99728262424469
gb6t0r3k,ppo_Walker2d-v5_912391_comparative_912391_nfeedback_5000,Walker2d-v5,0.0,False,912391,0.9959239363670348
ogkvi4cx,ppo_Walker2d-v5_912391_comparative_912391_nfeedback_5000_rt1.0,Walker2d-v5,0.0,True,912391,1.0
tlq7ncjm,ppo_Swimmer-v5_330_comparative_330_nfeedback_5000,Swimmer-v5,0.0,False,330,0.95244562625885
3smv7y5a,ppo_Swimmer-v5_330_comparative_330_nfeedback_5000_rt1.0,Swimmer-v5,0.0,True,330,0.9741848111152648
fmi7ptan,ppo_HalfCheetah-v5_912391_comparative_912391_nfeedback_5000_rt1.0,HalfCheetah-v5,0.0,True,912391,0.998641312122345
6ehoygjg,ppo_HalfCheetah-v5_1687123_comparative_1687123_noise_0.5_nfeedback_5000_rt1.0,HalfCheetah-v5,0.5,True,1687123,0.864130437374115
0cskoz9i,ppo_HalfCheetah-v5_1687123_comparative_1687123_nfeedback_5000,HalfCheetah-v5,0.0,False,1687123,0.9986559152603148
b944ic67,ppo_HalfCheetah-v5_1687123_comparative_1687123_nfeedback_5000_rt1.0,HalfCheetah-v5,0.0,True,1687123,1.0
vwhsjcqp,ppo_HalfCheetah-v5_1687123_comparative_1687123_noise_0.1_nfeedback_5000_rt1.0,HalfCheetah-v5,0.1,True,1687123,0.9893333315849304
wizxqjqf,ppo_HalfCheetah-v5_1687123_comparative_1687123_noise_0.1_nfeedback_5000,HalfCheetah-v5,0.1,False,1687123,0.9865591526031494
0fmfqyd9,ppo_HalfCheetah-v5_1687123_comparative_1687123_noise_0.5_nfeedback_5000,HalfCheetah-v5,0.5,False,1687123,0.8534946441650391
34jv4sbi,ppo_HalfCheetah-v5_1687123_comparative_1687123_noise_0.25_nfeedback_5000_rt1.0,HalfCheetah-v5,0.25,True,1687123,0.9346666932106018
ybejywbt,ppo_HalfCheetah-v5_1687123_comparative_1687123_noise_0.25_nfeedback_5000,HalfCheetah-v5,0.25,False,1687123,0.9368279576301576
34jb5uea,ppo_HalfCheetah-v5_330_comparative_330_nfeedback_5000_rt1.0,HalfCheetah-v5,0.0,True,330,0.9973333477973938
lbft68u1,ppo_HalfCheetah-v5_330_comparative_330_nfeedback_5000,HalfCheetah-v5,0.0,False,330,0.99731183052063
ssjyx1xh,ppo_HalfCheetah-v5_330_comparative_330_noise_0.1_nfeedback_5000,HalfCheetah-v5,0.1,False,330,0.977150559425354
xn2aq81i,ppo_HalfCheetah-v5_330_comparative_330_noise_0.1_nfeedback_5000_rt1.0,HalfCheetah-v5,0.1,True,330,0.9773333072662354
24w59ohf,ppo_HalfCheetah-v5_330_comparative_330_noise_0.25_nfeedback_5000_rt1.0,HalfCheetah-v5,0.25,True,330,0.9333333373069764
7i7rp1cw,ppo_HalfCheetah-v5_330_comparative_330_noise_0.25_nfeedback_5000,HalfCheetah-v5,0.25,False,330,0.9301075339317322
bu1wovj4,ppo_HalfCheetah-v5_12_comparative_12_noise_0.25_nfeedback_5000_rt1.0,HalfCheetah-v5,0.25,True,12,0.9253333210945128
f2j9t1u1,ppo_HalfCheetah-v5_330_comparative_330_noise_0.5_nfeedback_5000,HalfCheetah-v5,0.5,False,330,0.8360214829444885
kwff5rlg,ppo_HalfCheetah-v5_12_comparative_12_noise_0.25_nfeedback_5000,HalfCheetah-v5,0.25,False,12,0.9220430254936218
lnf36vtq,ppo_HalfCheetah-v5_12_comparative_12_noise_0.5_nfeedback_5000,HalfCheetah-v5,0.5,False,12,0.8629032373428345
pjymvcm3,ppo_HalfCheetah-v5_12_comparative_12_noise_0.5_nfeedback_5000_rt1.0,HalfCheetah-v5,0.5,True,12,0.8613333106040955
ozu4w1e3,ppo_HalfCheetah-v5_12_comparative_12_nfeedback_5000_rt1.0,HalfCheetah-v5,0.0,True,12,0.9986666440963744
tp53fqrl,ppo_HalfCheetah-v5_12_comparative_12_nfeedback_5000,HalfCheetah-v5,0.0,False,12,0.99731183052063
4ew75dsf,ppo_HalfCheetah-v5_12_comparative_12_noise_0.1_nfeedback_5000_rt1.0,HalfCheetah-v5,0.1,True,12,0.9800000190734864
h4srz4x3,ppo_HalfCheetah-v5_12_comparative_12_noise_0.1_nfeedback_5000,HalfCheetah-v5,0.1,False,12,0.979838728904724
qq07e5yo,ppo_Walker2d-v5_12_comparative_12_nfeedback_5000_rt1.0,Walker2d-v5,0.0,True,12,0.9986666440963744
njhzrvlw,ppo_Swimmer-v5_12_comparative_12_nfeedback_5000_rt1.0,Swimmer-v5,0.0,True,12,1.0
2aefg50x,ppo_Walker2d-v5_912391_comparative_912391_noise_0.25_nfeedback_5000_rt1.0,Walker2d-v5,0.25,True,912391,0.9453333616256714
gvgxjf2x,ppo_Walker2d-v5_1789_comparative_1789_noise_0.25_nfeedback_5000,Walker2d-v5,0.25,False,1789,0.9650537371635436
ogl72pwx,ppo_Walker2d-v5_1789_comparative_1789_noise_0.25_nfeedback_5000_rt1.0,Walker2d-v5,0.25,True,1789,0.9693333506584167
uya7r7mu,ppo_Walker2d-v5_912391_comparative_912391_noise_0.25_nfeedback_5000,Walker2d-v5,0.25,False,912391,0.9395161271095276
rzwmqwes,ppo_Walker2d-v5_12_comparative_12_noise_0.5_nfeedback_5000,Walker2d-v5,0.5,False,12,0.8763440847396851
